	D21BC	D21PT	D21R6	D21R7
AL391156.1	0	0	0	0
OR4K5	0	0	0	0
OR4K1	0	2	0	0
OR4K16P	0	0	0	0
OR4K15	0	0	0	0
OR4Q2	0	0	0	0
OR4K14	0	0	0	0
OR4K13	0	0	0	0
OR4U1P	0	0	0	0
OR4L1	0	0	0	0
RNA5SP380	0	0	0	0
OR4T1P	0	0	0	0
OR4K17	0	0	0	0
OR4N5	0	0	0	0
PSMB7P1	0	0	0	0
GTF2IP22	0	0	0	0
OR11G1P	0	0	0	0
AL163152.1	0	0	0	0
OR11G2	0	0	0	0
OR11H5P	0	0	0	0
OR11H6	0	0	0	0
OR11H7	0	1	1	0
OR11H4	0	1	1	0
TTC5	131	131	175	151
AL356019.2	3	3	3	3
AL356019.1	33	25	28	35
CCNB1IP1	130	121	108	100
SNORA79B	3	0	8	4
SNORD126	0	1	1	4
AL355075.4	3886	11808	444	308
RPPH1	0	0	0	0
PARP2	3014	9310	447	253
AL355075.1	2	12	8	7
TEP1	206	250	392	361
RNA5SP382	0	0	0	0
KLHL33	1	0	5	2
AL355075.5	0	0	0	0
OSGEP	88	92	126	140
AL355075.2	2	5	4	5
APEX1	452	484	663	466
PIP4P1	70	79	151	115
PNP	193	184	218	88
AL355075.3	45	34	56	18
RNASE10	0	0	0	0
PTCD2P1	0	0	0	0
SETP1	0	0	0	0
RNASE9	0	0	0	0
AL163195.3	0	0	0	0
RNASE11	0	2	0	0
AL163195.2	0	0	0	0
RNASE12	0	0	0	0
AL163195.1	0	0	0	0
OR6S1	0	0	0	0
RNASE4	0	1	0	1
ANG	36	37	86	79
AL163636.2	0	0	0	0
AL163636.1	83	106	183	169
RANBP20P	0	0	0	0
EDDM3DP	0	0	0	0
EDDM3A	0	0	0	0
EDDM3B	0	0	0	0
RNASE6	0	0	0	0
AL133371.2	0	0	0	0
RNASE1	0	0	0	1
AL133371.3	1	0	0	1
AL133371.1	0	0	0	0
RNASE3	0	0	1	0
AL355922.5	0	0	0	0
AL355922.4	0	0	0	0
AL355922.1	0	0	0	0
RNASE2	0	0	2	2
RN7SL189P	0	0	1	0
AL355922.3	0	0	0	0
METTL17	111	89	151	148
AL355922.2	51	42	76	71
SLC39A2	0	0	0	1
NDRG2	27	45	44	50
MIR6717	0	0	0	0
TPPP2	0	4	0	1
AL161668.3	0	0	0	0
AL161668.2	0	0	0	0
RNASE13	1	0	0	1
RNASE7	0	1	0	0
RNASE8	0	3	0	0
ARHGEF40	1161	1268	1537	1391
ZNF219	36	66	122	100
TMEM253	1	5	7	8
AL161668.1	0	0	0	0
CKAP2P1	0	0	0	0
RNU6-252P	0	0	0	0
OR5AU1	0	0	0	0
SMARCE1P3	0	0	0	0
AL157687.1	0	0	0	0
LINC00641	69	83	49	41
HNRNPC	3163	2716	4055	3156
RPGRIP1	0	1	1	1
SUPT16H	719	668	1011	805
AL135744.1	0	0	5	0
CHD8	665	771	965	832
SNORD9	1	0	0	1
SNORD8	0	0	0	0
AL161747.1	0	0	0	1
EIF4EBP1P1	0	1	2	1
RN7SL650P	0	0	0	0
RAB2B	210	190	274	218
TOX4	403	441	606	470
METTL3	246	253	320	299
SALL2	16	13	15	16
AL161747.2	2	1	4	0
RBBP4P5	0	0	0	0
OR10G3	0	0	0	0
AC243972.2	0	0	0	0
OR10G1P	0	0	0	0
UBE2NP1	0	0	0	0
TRAV1-1	0	0	0	0
OR10G2	0	0	0	0
TRAV1-2	0	0	0	0
ARL6IP1P1	0	0	0	0
OR4E2	0	0	0	0
OR4E1	0	0	0	0
AC243972.3	0	0	0	0
TRAV2	0	0	0	0
AC243972.1	0	0	0	0
TRAV3	0	0	0	0
TRAV4	0	0	0	0
TRAV5	0	0	0	0
RPL4P1	0	0	0	0
TRAV6	0	0	0	0
TRAV7	0	0	0	0
TRAV8-1	0	0	0	0
TRAV9-1	0	0	0	0
TRAV10	0	0	0	0
TRAV11	0	0	0	0
TRAV12-1	0	0	0	0
TRAV8-2	0	0	0	0
TRAV8-3	0	0	0	0
TRAV13-1	0	0	0	0
TRAV12-2	0	0	0	0
TRAV8-4	0	0	0	0
TRAV8-5	0	0	0	0
TRAV13-2	0	0	0	0
TRAV14DV4	0	0	0	0
TRAV9-2	0	0	0	0
TRAV15	0	0	0	0
AC245505.1	0	0	0	0
TRAV12-3	0	0	0	0
TRAV8-6	0	0	0	0
TRAV16	0	0	0	0
TRAV17	0	0	0	0
TRAV18	0	0	0	0
TRAV19	0	0	0	0
AC245505.2	0	0	0	0
TRAV20	0	0	0	0
TRAV21	0	0	0	0
AC245505.3	0	0	0	0
TRAV22	0	0	0	0
TRAV23DV6	0	0	0	0
TRDV1	0	0	0	0
TRAV24	0	0	0	0
TRAV25	0	0	0	0
TRAV26-1	0	0	0	0
TRAV8-7	0	0	0	0
TRAV27	0	0	0	0
TRAV28	1	0	0	0
TRAV29DV5	0	0	0	0
TRAV30	0	0	0	0
TRAV31	0	0	0	0
TRAV32	0	0	0	0
TRAV33	0	0	0	0
TRAV26-2	0	0	0	0
TRAV34	0	0	0	0
TRAV35	0	0	0	0
TRAV36DV7	0	0	0	0
TRAV37	0	0	0	0
TRAV38-1	0	0	0	0
TRAV38-2DV8	0	0	0	0
TRAV39	0	0	1	0
TRAV40	0	0	0	0
TRAV41	0	0	0	0
AC244502.2	0	0	0	0
AC244502.1	5	9	10	17
AC244502.3	0	0	0	0
TRDV2	0	0	0	0
TRDD1	0	0	0	0
TRDD2	0	0	0	0
TRDD3	0	0	0	0
TRDJ1	1	0	2	0
TRDJ4	0	0	0	0
TRDJ2	0	0	0	0
TRDJ3	0	0	0	0
TRDC	5	6	22	23
TRDV3	0	0	0	0
TRAJ61	0	0	0	0
TRAJ60	0	0	0	0
TRAJ59	0	0	0	0
TRAJ58	0	0	0	0
TRAJ57	0	0	0	0
TRAJ56	0	0	0	0
TRAJ55	0	0	0	0
TRAJ54	0	0	0	0
TRAJ53	0	0	0	0
TRAJ52	0	0	0	0
TRAJ51	0	0	0	0
TRAJ50	0	0	0	0
TRAJ49	0	0	0	0
TRAJ48	0	0	0	0
TRAJ47	0	0	0	0
TRAJ46	0	0	0	0
TRAJ45	0	0	0	0
TRAJ44	0	0	0	0
TRAJ43	0	0	0	0
TRAJ42	0	0	0	0
TRAJ41	0	0	0	0
TRAJ40	0	0	0	0
TRAJ39	0	0	0	0
TRAJ38	0	0	0	0
TRAJ37	0	0	0	0
TRAJ36	0	0	0	0
TRAJ35	0	0	0	0
TRAJ34	0	0	0	0
TRAJ33	0	0	0	0
TRAJ32	0	0	0	0
TRAJ31	0	0	0	0
TRAJ30	0	0	0	0
TRAJ29	0	0	0	0
TRAJ28	0	0	0	0
TRAJ27	0	0	0	0
TRAJ26	0	0	0	0
TRAJ25	0	0	0	0
TRAJ24	0	0	0	0
TRAJ23	0	0	0	0
TRAJ22	0	0	0	0
TRAJ21	0	0	0	0
TRAJ20	0	0	0	0
TRAJ19	0	0	0	0
TRAJ18	0	0	0	0
TRAJ17	0	0	0	0
TRAJ16	0	0	0	0
TRAJ14	0	0	0	0
TRAJ13	0	0	0	0
TRAJ12	0	0	0	0
TRAJ11	0	0	0	0
TRAJ10	0	0	0	0
TRAJ9	0	0	0	0
TRAJ8	0	0	0	0
TRAJ7	0	0	0	0
TRAJ6	0	0	0	0
TRAJ5	0	0	0	0
TRAJ4	0	0	0	0
TRAJ3	0	0	0	0
TRAJ2	0	0	0	0
TRAJ1	0	0	0	0
TRAC	1	3	3	1
LINC02332	1	0	2	0
AC243965.1	1	0	1	1
DAD1	484	407	685	400
AC243965.2	3	4	10	9
ABHD4	95	128	293	232
OR6J1	0	1	1	0
AL160314.1	0	0	0	0
OR6E1P	3	0	0	3
AL160314.2	0	1	3	1
AL160314.3	0	0	0	0
RF00588	0	0	0	1
OXA1L	223	284	335	239
SLC7A7	27	24	33	19
MRPL52	143	111	139	77
MMP14	11370	10971	12957	10829
LRP10	823	965	1699	1502
REM2	1	5	2	4
RBM23	252	268	471	401
PRMT5-AS1	225	201	340	327
PRMT5	394	380	566	540
AL132780.1	15	14	20	14
HAUS4	60	46	55	42
AL132780.3	0	0	0	0
MIR4707	0	0	0	0
AJUBA	152	132	179	145
AL132780.2	14	16	10	19
C14orf93	40	66	55	68
AL132780.5	0	1	2	1
PSMB5	906	694	791	603
AL132780.4	0	1	1	0
PSMB11	0	0	0	1
CDH24	23	33	24	34
ACIN1	592	717	937	843
C14orf119	293	251	446	400
LMLN2	12	4	5	9
CEBPE	0	0	1	0
SLC7A8	47	82	485	607
RNU6-1138P	0	0	0	0
RNF212B	4	1	2	8
AL049829.1	0	0	0	0
RNU6-1046P	0	0	0	0
HOMEZ	61	83	86	71
H3F3AP2	0	3	0	0
PPP1R3E	38	70	45	55
BCL2L2	225	259	360	319
BCL2L2-PABPN1	2	2	2	2
PABPN1	216	218	303	256
SLC22A17	570	707	615	416
EFS	368	452	421	344
AL049829.2	47	71	65	64
IL25	0	0	0	0
CMTM5	1	7	7	1
MYH6	1	0	0	0
MIR208A	0	0	0	0
MYH7	2	2	2	1
AL132855.1	2	1	0	0
MIR208B	0	0	0	0
NGDN	117	117	179	166
ZFHX2-AS1	14	12	20	11
ZFHX2	4	14	13	8
AL135999.2	2	2	0	2
THTPA	27	28	42	41
AP1G2	270	314	263	337
AL135999.1	124	170	140	136
JPH4	2	3	2	2
AL135999.3	0	0	0	0
DHRS2	0	0	9	7
AL160237.1	0	0	0	0
BRD7P1	0	0	0	0
AL160237.3	0	0	0	0
RN7SKP205	0	0	0	0
AL160237.2	0	0	0	0
LINC00596	0	1	0	0
DHRS4-AS1	94	107	134	133
DHRS4	88	78	130	144
DHRS4L2	90	72	104	103
AL136419.1	1	0	0	1
DHRS4L1	0	0	0	1
CARMIL3	1	2	2	0
CPNE6	1	1	3	1
NRL	17	11	14	22
PCK2	375	308	164	191
DCAF11	203	179	309	294
AL136295.3	0	0	0	0
FITM1	0	1	1	1
PSME1	64	61	361	351
EMC9	44	44	55	53
AL136295.2	8	10	8	8
PSME2	106	101	385	439
MIR7703	0	0	0	0
RNF31	118	109	221	223
AL136295.5	1	6	4	4
RNA5SP383	0	0	1	0
IRF9	8	11	60	35
REC8	17	11	50	30
IPO4	8	6	6	7
AL136295.4	0	0	0	0
TM9SF1	31	33	50	47
AL136295.1	0	0	0	0
AL136295.6	0	1	1	2
AL136295.7	13	14	10	11
TSSK4	10	15	12	13
CHMP4A	3	4	6	2
AL096870.2	2	1	4	3
MDP1	1	2	1	0
NEDD8-MDP1	0	0	0	0
NEDD8	265	212	379	332
GMPR2	449	455	490	480
TINF2	143	131	282	216
TGM1	5	8	11	20
RABGGTA	75	94	106	91
DHRS1	106	112	173	119
NOP9	385	360	515	472
CIDEB	200	225	319	277
LTB4R2	37	52	44	45
LTB4R	40	56	66	87
ADCY4	54	77	48	48
AL096870.1	0	0	0	0
RIPK3	10	14	46	27
NFATC4	809	963	1250	1391
NYNRIN	63	150	175	153
CBLN3	77	85	119	130
KHNYN	756	772	956	847
SDR39U1	194	225	255	219
AL132800.1	4	3	9	12
CMA1	4	3	1	2
CTSG	0	1	1	0
AL136018.1	0	0	0	0
GZMH	0	0	0	0
GZMB	0	2	0	0
STXBP6	134	112	179	113
LINC02286	0	0	0	0
HMGN2P6	0	0	0	0
OR7K1P	0	0	0	0
AL079352.1	0	0	0	0
AL359396.1	0	0	0	0
LINC02306	0	0	0	0
CYB5AP5	0	0	0	0
NOVA1	2	1	11	4
AL079343.1	0	0	1	1
NOVA1-AS1	1	0	0	0
LINC02294	0	0	0	0
LINC02293	0	0	0	0
AL110292.1	0	0	0	0
MIR4307HG	0	0	0	0
MIR4307	0	0	0	0
AL390334.1	0	0	0	0
LINC00645	0	0	0	0
MIR3171	0	0	0	0
BNIP3P1	5	1	2	2
AL139023.1	0	0	0	0
RPL26P3	0	0	0	0
LINC02300	0	1	0	0
EIF4A1P12	0	0	0	0
BTF3P2	0	0	0	0
FOXG1-AS1	0	0	0	0
FOXG1	0	0	3	5
LINC01551	0	0	0	0
LINC02282	0	0	0	0
LINC02281	0	0	0	0
AL049777.1	0	0	0	0
LINC02327	0	0	0	0
AL122126.1	0	0	0	0
AL138974.1	0	0	0	0
LINC02326	0	0	0	0
RNU6-864P	0	0	0	0
AL133166.1	0	0	0	0
AL158058.1	0	0	0	0
RNU11-5P	0	0	0	0
PRKD1	89	138	454	524
AL356756.1	1	0	3	3
RNU6-1234P	0	0	0	2
AL133372.3	0	0	0	0
AL133372.2	0	0	0	1
AL133372.1	0	0	0	0
AL079305.1	0	0	0	0
G2E3-AS1	0	1	1	0
SYF2P1	0	0	0	0
G2E3	94	114	143	92
SCFD1	309	312	518	395
UBE2CP1	5	6	7	5
AL121852.1	2	0	1	0
RPL12P5	0	0	0	0
AL049830.2	0	0	0	0
AL049830.1	0	0	0	0
COCH	1	0	2	3
AL049830.3	1	1	2	3
STRN3	403	354	521	465
HIGD1AP17	0	0	1	0
MIR624	0	0	3	1
AL049830.4	1	2	3	0
AP4S1	39	35	79	55
HECTD1	1674	1478	2001	1568
RPL21P5	0	2	1	2
RNU6-541P	0	0	1	1
AL136418.1	21	8	29	22
HEATR5A	160	158	216	124
AL139353.3	1	1	0	0
AL139353.1	1	1	5	5
AL139353.2	10	16	12	12
DTD2	60	49	62	43
AL163973.1	0	0	0	0
GPR33	0	0	0	0
NUBPL	76	56	76	53
AL163973.3	0	0	0	0
AL163973.2	0	0	0	0
RNU6-602P	0	0	0	0
RNU6-455P	0	0	4	0
AL355112.1	1	0	1	0
LINC02313	1	0	0	0
AL352984.2	0	0	0	0
AL352984.1	0	0	0	0
ARHGAP5-AS1	8	10	20	26
ARHGAP5	475	531	883	571
RNU6-7	1	1	0	0
RNU6-8	7	9	16	19
AL136298.2	0	0	0	0
AL136298.3	0	2	0	1
AKAP6	6	12	13	15
AL136298.1	0	0	0	0
RN7SL660P	0	0	0	0
MTCO1P2	0	0	0	0
AL049781.1	0	0	0	0
NPAS3	23	24	27	28
EGLN3	208	222	151	49
EGLN3-AS1	1	0	0	1
AL356806.1	0	0	0	0
SPTSSA	129	97	140	110
RPL23AP71	0	0	0	0
EAPP	211	149	355	314
AL445363.3	0	0	0	0
AL445363.1	0	0	1	0
RNU1-27P	0	0	0	0
RNU1-28P	0	0	0	0
AL445363.2	0	0	0	0
SNX6	183	173	288	320
RPS19P3	0	1	3	0
RNU6-1261P	0	0	0	0
RPL23AP8	0	0	0	1
CFL2	138	127	217	162
RPL12P6	0	0	0	1
BAZ1A	153	136	279	199
RNU7-41P	0	0	1	0
AL121603.2	16	23	34	31
SRP54-AS1	3	7	12	14
AL121603.1	0	0	1	1
IGBP1P1	0	3	1	0
SRP54	479	420	563	325
FAM177A1	334	289	744	562
PPP2R3C	62	64	90	78
AL049776.1	9	4	10	6
KIAA0391	28	35	49	31
AL121594.1	0	0	1	0
RPL23AP70	0	0	1	1
SEPT7P1	1	0	0	0
MRPL57P8	0	2	0	0
DPRXP3	0	0	1	1
RPL7AP3	0	0	0	0
RPL9P3	0	1	1	0
PSMA6	65	71	103	88
AL133163.2	0	0	0	0
AL133163.1	0	1	0	0
NFKBIA	151	174	655	612
DNAJC8P1	0	0	0	0
AL133163.3	0	0	0	0
RPS3AP4	0	0	0	0
KRT18P6	0	0	0	0
INSM2	0	0	0	1
RALGAPA1	112	149	186	169
QRSL1P3	1	1	2	5
AL162311.3	6	9	14	9
NUTF2P2	1	0	3	0
BRMS1L	14	19	45	35
AL162311.1	0	0	1	0
AL162311.2	0	0	1	2
AL133304.3	0	0	0	0
AL133304.1	0	0	0	0
ILF2P2	0	0	0	0
AL133304.2	0	0	0	0
LINC00609	0	0	0	0
PTCSC3	0	0	0	0
AL162511.1	0	0	0	0
RN7SKP21	0	0	0	0
MBIP	38	58	114	94
AL132857.2	3	1	0	1
DPPA3P2	0	0	0	0
RNU7-93P	0	0	0	0
AL132857.1	0	0	0	0
SFTA3	0	0	0	0
NKX2-1	0	1	0	0
NKX2-1-AS1	0	0	0	0
PHKBP2	0	0	0	0
RPL29P3	0	0	0	0
NKX2-8	0	0	0	0
RN7SKP257	0	0	0	0
AL079303.1	0	0	0	1
PAX9	8	11	25	26
SLC25A21	9	9	8	6
AL162464.2	0	1	0	0
AL162464.1	0	0	0	0
MIR4503	0	0	0	0
AL079304.1	0	0	0	0
SLC25A21-AS1	7	3	11	6
RNU6-273P	0	0	0	0
MIPOL1	65	58	96	90
RNU6-886P	0	0	0	0
AL121790.2	0	0	2	0
AL121790.1	1	0	1	0
FOXA1	0	0	1	1
TTC6	1	0	0	1
RNU6-1277P	0	0	0	0
LINC00517	0	0	0	0
AL359233.1	0	0	0	0
AL392023.2	0	0	0	0
AL392023.1	0	0	0	0
SSTR1	0	0	0	0
CLEC14A	0	0	1	0
AL161751.1	0	0	0	0
AL357094.1	0	0	0	0
KRT8P1	0	0	0	0
LINC00639	5	6	7	8
AL132994.1	0	1	0	0
AL132994.2	0	0	0	0
SEC23A	1955	1718	2266	1369
AL109628.1	2	4	2	2
SEC23A-AS1	115	150	167	124
PPIAP4	0	0	0	0
GEMIN2	20	38	50	37
TRAPPC6B	185	159	255	197
RPL7AP2	2	3	3	8
AL132639.3	16	15	29	16
PNN	363	340	452	434
AL132639.1	0	0	0	0
YTHDF2P1	0	0	0	0
CTAGE5	139	97	190	130
AL132639.2	4	10	5	7
AL157791.2	1	1	1	1
AL157791.1	2	0	3	3
FBXO33	91	80	210	153
AL049875.1	2	0	0	0
AL352977.1	0	0	0	0
AL352977.2	0	0	0	0
LINC02315	2	1	3	1
AL391516.1	0	0	0	0
AL356596.1	0	0	0	0
AL121821.2	0	0	0	0
AL121821.1	1	1	1	1
LRFN5	3	6	7	16
FKBP1BP1	1	0	0	1
AL445074.1	0	0	0	0
AL442163.1	0	0	0	0
AL450442.1	0	0	0	0
AL442163.2	0	0	0	0
AL442163.3	0	0	0	0
AL356800.1	0	0	0	0
AL163153.1	0	0	0	0
AL445383.1	0	0	0	0
HNRNPUP1	1	0	0	0
KRT8P2	0	0	0	0
AL358913.1	0	0	0	0
AL358913.2	0	0	0	0
LINC02307	0	0	0	0
EIF4BP1	0	0	0	0
AL109766.1	0	1	1	0
YWHAZP1	0	0	0	0
AL161752.1	0	0	0	0
LINC02277	0	0	0	0
FSCB	0	0	0	0
AL356022.1	0	0	0	0
LINC02302	0	1	0	0
DOCK11P1	0	0	0	0
AL049870.2	0	1	0	0
AL049870.1	0	0	0	0
AL049870.4	0	0	0	0
C14orf28	14	12	25	25
AL049870.3	0	2	1	0
KLHL28	188	197	179	161
TOGARAM1	160	180	274	260
AL121809.2	0	0	0	1
AL121809.1	0	0	0	0
PRPF39	152	160	230	151
RF00151	0	0	0	0
SNORD127	0	0	0	0
FKBP3	102	93	150	138
FANCM	32	21	42	61
MIS18BP1	72	59	148	127
RNU6-552P	0	0	0	0
DNAJC19P9	0	0	0	0
AL162632.3	0	0	0	0
AL162632.1	0	0	0	0
AL162632.2	0	0	0	0
AL139354.1	0	0	0	0
LINC02303	0	0	0	0
LINC00871	0	0	0	0
RPL10L	0	0	0	0
MDGA2	0	0	0	0
RPA2P1	0	0	0	0
RPL13AP2	0	0	0	0
RPS15AP3	0	0	0	0
MIR548Y	0	0	0	0
LINC00648	0	0	0	1
AL121576.1	0	0	0	0
AL359212.1	0	0	0	0
AL358335.3	0	0	0	0
RNU6-297P	0	0	0	0
AL358335.2	0	0	0	0
AL358335.1	0	0	0	0
RPL18P1	0	0	0	0
AL512360.1	0	0	0	0
AL110505.1	0	0	0	0
AL512361.1	0	0	0	0
RNA5SP384	0	0	0	0
RPS29	14254	13723	17120	18164
RPL32P29	0	0	0	0
AL139099.4	0	0	0	0
RN7SL1	0	0	0	0
LRR1	28	22	39	33
RHOQP1	5	2	6	4
AL139099.3	0	0	0	1
RPL36AL	754	687	843	867
MGAT2	244	208	392	321
AL139099.1	205	190	444	345
DNAAF2	57	54	84	71
AL139099.2	1	0	1	0
POLE2	10	8	12	13
AL591767.3	0	1	0	1
AL591767.2	0	0	0	0
RNU6ATAC30P	0	0	0	0
KLHDC1	39	41	38	40
AL591767.1	0	0	1	0
KLHDC2	279	252	433	389
NEMF	292	283	495	368
RNU6-539P	0	1	0	0
RN7SL3	2051	2007	2790	3021
AL627171.2	1	1	3	3
RN7SL2	36027	35443	45133	37535
AL627171.1	4	2	1	1
ARF6	612	546	792	596
RNU6-189P	0	0	0	0
LINC01588	15	21	15	12
MIR6076	0	0	0	0
PDLIM1P1	0	0	0	0
AL117692.1	1	0	1	0
RN7SKP193	0	0	1	0
VCPKMT	25	14	38	30
SOS2	147	164	194	151
L2HGDH	18	28	35	22
MIR4504	0	0	0	0
ATP5S	77	94	131	101
AL359397.2	9	12	21	13
CDKL1	52	52	81	56
AL359397.1	1	0	5	0
MAP4K5	490	528	699	349
AL118556.1	56	45	78	24
AL118556.2	0	1	3	1
ATL1	102	94	204	127
SNRPGP1	0	1	0	0
SAV1	111	169	393	352
RN7SL452P	2	0	5	2
AL606834.1	4	5	8	6
ZFP64P1	0	0	0	0
NIN	241	232	519	371
AL606834.2	1	1	2	2
AL133485.1	15	15	33	13
RF00593	0	0	0	0
AL358334.1	1	0	1	0
PYGL	1175	1279	855	455
ABHD12B	4	13	7	3
AL358334.3	124	127	104	55
AL358334.2	4	5	4	7
TRIM9	48	86	104	71
AL591770.1	0	3	1	2
TMX1	552	373	660	472
LINC00519	1	0	3	2
LINC00640	0	4	1	1
AL358332.1	0	0	0	0
LINC02310	1	0	0	0
SETP2	0	0	0	0
FRMD6-AS2	0	0	0	0
FRMD6	1527	1329	1088	565
RNU6-1291P	0	0	0	0
AL122125.1	3	3	0	0
FRMD6-AS1	8	10	13	9
RNA5SP385	0	0	0	0
RNU6-301P	1	1	0	0
AL079307.2	0	0	0	0
OR7E105P	0	0	0	0
OR7E106P	0	0	0	0
AL079307.1	1	0	0	0
OR7E159P	0	0	0	0
AL079307.3	0	0	0	0
GNG2	145	115	243	120
AL358333.2	1	0	1	0
AL358333.3	41	28	58	37
AL358333.1	0	0	0	0
RTRAF	818	688	958	625
NID2	403	507	524	261
LINC02319	0	0	0	0
COX5AP2	0	0	0	0
AL118557.1	0	0	0	0
PTGDR	1	1	6	1
AL365475.1	0	1	0	0
PTGER2	129	122	260	173
TXNDC16	18	24	25	33
GPR137C	2	3	5	3
ERO1A	857	1011	1013	671
AL133453.1	40	78	83	33
PSMC6	260	183	392	278
STYX	142	149	222	148
GNPNAT1	596	570	500	239
AL139317.3	370	347	270	153
AL139317.1	0	0	0	0
AL139317.2	0	1	0	0
FERMT2	2119	1858	2115	1565
AL139317.4	7	9	13	5
AL352979.1	0	3	0	0
AL352979.3	1	0	1	0
DDHD1	183	264	271	202
AL352979.2	6	4	2	4
AL356020.1	9	9	3	11
AL365295.1	2	3	10	5
AL163953.1	0	0	0	1
RPS3AP46	0	0	0	0
LINC02331	0	0	0	0
AL138479.1	0	0	0	0
MIR5580	0	0	0	0
BMP4	26	23	42	24
ATP5F1CP1	0	0	0	0
CDKN3	12	8	9	5
CNIH1	662	701	708	523
AL359792.1	0	0	1	0
GMFB	186	186	414	266
CGRRF1	43	42	58	57
SAMD4A	775	1003	636	511
GCH1	16	14	46	59
RNU6ATAC9P	0	0	1	0
MIR4308	0	0	0	0
FDPSP3	1	0	0	0
WDHD1	71	68	92	68
RPSAP13	0	0	0	1
SOCS4	143	144	211	137
MAPK1IP1L	203	270	259	236
LGALS3	614	501	995	901
DLGAP5	11	24	8	2
AL139316.1	0	0	0	0
AL158801.5	0	0	1	0
AL158801.4	0	0	0	0
AL158801.2	1	2	3	4
FBXO34	120	113	183	124
AL158801.1	0	0	1	1
CHMP4BP1	0	1	0	3
AL158801.3	1	1	0	0
ATG14	81	103	208	153
AL356801.1	0	4	4	3
TBPL2	0	1	0	0
RPL21P6	0	0	0	0
KTN1-AS1	11	14	19	16
RPL7AP4	0	2	0	0
ABI1P1	0	1	1	0
KTN1	1388	1179	1237	1062
AL355773.1	0	0	0	0
RPL13AP3	0	0	0	0
LINC00520	0	0	1	0
AL163952.1	0	0	1	0
AL138995.1	0	1	1	0
PELI2	69	70	51	52
AL355073.1	0	0	1	0
AL355073.2	0	0	0	0
LINC02284	0	0	0	1
TMEM260	82	98	135	90
AL355103.1	0	0	0	0
AL161757.2	7	5	8	3
AL161757.5	1	7	3	2
AL161757.1	0	0	0	0
AL161757.3	0	0	0	0
OTX2	0	0	0	0
OTX2-AS1	0	0	0	0
AL161757.4	0	0	0	0
RN7SL461P	0	0	0	0
RNU6-1204P	0	0	0	0
RPL3P3	0	1	0	0
AL137100.1	0	0	0	0
AL137100.2	0	0	0	0
AL391152.1	0	0	0	0
EXOC5	258	234	520	376
AP5M1	156	127	251	224
AL355834.1	0	1	0	1
NAA30	131	131	230	179
CCDC198	0	2	0	1
SLC35F4	0	2	2	0
AL161804.1	0	0	1	0
AL136520.1	0	0	0	0
RN7SKP99	0	0	0	0
AL049838.1	18	12	7	0
C14orf37	197	241	169	102
AL121579.2	0	0	0	0
UBA52P3	0	0	0	0
RN7SL598P	0	0	0	0
AL121579.1	0	0	0	0
ACTR10	183	146	264	212
PSMA3	166	148	357	262
AL132989.1	0	6	4	6
PSMA3-AS1	48	63	107	96
HMGB1P14	4	4	4	6
AL132989.2	4	6	5	6
RNU6-341P	0	0	2	3
ARID4A	90	105	144	99
AL139021.2	0	0	1	0
TOMM20L	2	2	2	1
AL139021.1	30	25	42	30
TIMM9	66	62	65	71
KIAA0586	77	89	185	133
HSBP1P1	0	0	0	0
HNRNPCP1	2	4	10	4
RPL9P5	0	0	0	1
DACT1	480	497	469	167
AL049873.1	6	5	2	1
AL049873.2	2	5	6	1
LINC01500	0	1	1	0
AL359219.1	0	0	0	1
PPIAP5	0	0	0	0
DAAM1	102	113	98	52
GPR135	13	36	33	21
L3HYPDH	108	105	219	172
AL121694.1	0	0	0	0
JKAMP	262	208	373	223
CCDC175	0	0	3	3
RTN1	6	4	88	47
MIR5586	0	0	0	0
AL133299.1	0	0	1	0
LRRC9	1	0	1	2
AL157911.1	1	0	1	3
PCNX4	480	468	512	459
DHRS7	319	290	590	480
SCOCP1	1	1	1	0
PSMA3P	0	0	0	0
RPL17P2	0	0	0	0
AL157756.1	0	1	3	3
PPM1A	419	343	632	482
LINC02322	0	0	0	0
C14orf39	4	4	4	5
RBM8B	1	2	3	5
GNRHR2P1	0	0	0	2
SALL4P7	0	2	0	2
SIX6	0	0	0	2
AL049874.3	0	0	1	1
AL049874.4	0	1	0	0
AL049874.2	0	1	0	0
AL049874.1	0	0	0	0
SALRNA1	3	3	6	5
SIX1	68	74	192	170
SIX4	172	208	145	103
MNAT1	99	66	109	82
AL132777.1	0	1	1	0
AL160236.2	0	0	0	0
SRMP2	1	6	5	8
TRMT5	123	119	206	176
AL160236.1	0	0	0	0
RNU6-398P	4	2	5	2
SLC38A6	68	73	144	122
PRKCH	22	16	16	12
TMEM30B	27	27	48	27
AL359220.1	3	6	3	3
AL355916.3	0	0	0	0
AL355916.2	0	0	0	0
LINC01303	2	7	8	4
AL355916.1	11	6	11	14
HIF1A-AS1	157	181	133	73
HIF1A	2565	2775	2120	1146
HIF1A-AS2	13	32	11	13
AL137129.1	0	1	0	0
SNAPC1	87	108	59	62
AL137918.1	1	6	0	1
SYT16	1	1	0	0
COX4I1P1	0	0	0	0
AL390816.1	0	0	0	0
AL390816.2	0	0	0	0
LINC00643	0	0	0	0
LINC00644	0	0	0	0
AL390816.3	0	0	0	0
AL389895.1	0	0	0	0
ATP5F1AP4	0	0	0	0
KCNH5	0	0	0	0
PARP1P2	0	0	0	0
AL137191.1	0	0	0	0
RHOJ	10	18	38	22
